linkToSalesperson_assoc_name,zip,phone,custNo,@ID,address,name,state,address_2,customer,linkToPymtTerms_assoc_desc,taxCode,contact,city,desc
,30152,,4535,4535,SUITE 100,UNI- STRUCTURES,GA,8540 COBB CENTER DR.,"UNI- STRUCTURES; SUITE 100; 8540 COBB CENTER DR.; KENNESAW, GA 30152",NET 30 DAYS,,,KENNESAW,
,64106,(816) 860-7000,117350,117350,906 Grand Blvd. F11th Floor,UMB BANKS,MO,,"UMB BANKS; 906 Grand Blvd. F11th Floor; Kansas City, MO 64106",NET 30 DAYS,,,Kansas City,
,32746,(866) 990-3200,117300,117300,300 International Parkway Ste,ULTIMATE FRANCHISE SYSTEMS,FL,,"ULTIMATE FRANCHISE SYSTEMS; 300 International Parkway Ste; Heathrow, FL 32746",NET 30 DAYS,,,Heathrow,
,80260,(303) 412-2500,117250,117250,"321 W. 84th Ave., Ste. A","ULTIMATE ELECTRONICS, INC.",CO,,"ULTIMATE ELECTRONICS, INC.; 321 W. 84th Ave., Ste. A; Thornton, CO 80260",NET 30 DAYS,,,Thornton,
Mike Ericson,55076,651-450-4426,2255,2255,5641 BLACKBURN LANE,ULTIMATE CAR CARE,MN,,"ULTIMATE CAR CARE; 5641 BLACKBURN LANE; INVER GROVE HEIGHTS, MN 55076",NET 30 DAYS,,Gina Larson,INVER GROVE HEIGHTS,
,45242,(513) 794-8785,118350,118350,4480 Emerald Ave,US BANCORP,OH,,"US BANCORP; 4480 Emerald Ave; Cincinnati, OH 45242",NET 30 DAYS,,,Cincinnati,
Joe Phillips,50273,,6173,6173,1511 N JOHN WAYNE DR HWY 169,URBAN TAPROOM AND GRILLE,IA,,"URBAN TAPROOM AND GRILLE; 1511 N JOHN WAYNE DR HWY 169; WINTERSET, IA 50273",NET 30 DAYS,,,WINTERSET,
Joe Phillips,50322,,4811,4811,3651 86TH ST.,URBAN SOCIAL,IA,,"URBAN SOCIAL; 3651 86TH ST.; URBANDALE, IA 50322",NET 30 DAYS,,,URBANDALE,
,19103,(215) 564-2313,118300,118300,1809 Walnut St.,"URBAN OUTFITTERS, INC.",PA,,"URBAN OUTFITTERS, INC.; 1809 Walnut St.; Philadelphia, PA 19103",NET 30 DAYS,,,Philadelphia,
Joe Phillips,50273,,6172,6172,69 E JEFFERSON,URBAN ON THE SQUARE,IA,,"URBAN ON THE SQUARE; 69 E JEFFERSON; WINTERSET, IA 50273",NET 30 DAYS,,Jean Thmpson,WINTERSET,
Joe Phillips,50322,515-278-1371,3571,3571,7605 AURORA AVENUE,URBAN HEIGHTS COVENANT CHURCH,IA,,"URBAN HEIGHTS COVENANT CHURCH; 7605 AURORA AVENUE; URBANDALE, IA 50322",NET 30 DAYS,,Dick Nystrom,URBANDALE,
Kent Reed,50322,515-991-7350,4182,4182,5901 SHERIDAN AVE.,"URBAN FORESTERS, LLC",IA,,"URBAN FORESTERS, LLC; 5901 SHERIDAN AVE.; DES MOINES, IA 50322",NET 30 DAYS,,John Nahas,DES MOINES,
,50265,515-225-2222,118250,118250,4800 Mills Civic Parkway,URBAN DEVELOPMENT,IA,,"URBAN DEVELOPMENT; 4800 Mills Civic Parkway; West Des Moines, IA 50265",NET 30 DAYS,,,West Des Moines,
Joe Phillips,50265,,5442,5442,640 S 50TH STREET,URBAN CELLAR,IA,SUITE 2110,"URBAN CELLAR; 640 S 50TH STREET; SUITE 2110; WEST DES MOINES, IA 50265",NET 30 DAYS,,Dave Thompson,WEST DES MOINES,
Mike Ericson,50021,,3667,3667,2310 SE DELAWARE AVE,UPS STORE,IA,,"UPS STORE; 2310 SE DELAWARE AVE; ANKENY, IA 50021",NET 30 DAYS,,,ANKENY,
,50131,515 334 0753,4029,4029,8805 CHAMBERY BLVD.,UPS STORE,IA,,"UPS STORE; 8805 CHAMBERY BLVD.; JOHNSTON, IA 50131",NET 30 DAYS,,,JOHNSTON,
,21279,,2147,2147,PO BOX 79755,UPS FREIGHT,MD,,"UPS FREIGHT; PO BOX 79755; BALTIMORE, MD 21279",NET 30 DAYS,,,BALTIMORE,
Mike Ericson,23601,,2562,2562,PO BOX 1265,UPS CLAIMS PROCESSING,VA,,"UPS CLAIMS PROCESSING; PO BOX 1265; NEWPORT NEWS, VA 23601",NET 30 DAYS,,,NEWPORT NEWS,
,91752,951 749 3115,2876,2876,11991 LANDON DR,UPS,CA,,"UPS; 11991 LANDON DR; MIRA LOMA, CA 91752",NET 30 DAYS,,,MIRA LOMA,
,02132,,118200,118200,100 CHARLES PARK RD,"UNO RESTAURANTS, LLC.",MA,,"UNO RESTAURANTS, LLC.; 100 CHARLES PARK RD; WEST ROXBURY, MA 02132",NET 30 DAYS,,,WEST ROXBURY,
,01527,508-581-7866,2326,2326,70 WORCESTER PROVIDENCE HWY,UNO CHICAGO GRILL,MA,,"UNO CHICAGO GRILL; 70 WORCESTER PROVIDENCE HWY; MILLBURY, MA 01527",1% 10th of month net eom,,Chris,MILLBURY,
,50311,515-273-9401,118150,118150,2300 University,UNIVERSITY PLACE LOFTS,IA,,"UNIVERSITY PLACE LOFTS; 2300 University; Des Moines, IA 50311",NET 30 DAYS,,,Des Moines,
Joe Phillips,50314,,118100,118100,233 University Ave,UNIVERSITY PARK NURSING AND RE,IA,,"UNIVERSITY PARK NURSING AND RE; 233 University Ave; Des Moines, IA 50314",NET 30 DAYS,,,Des Moines,
,84121,(801) 274-9488,118050,118050,575 E. University Pkwy. # E.2,UNIVERSITY MALL,UT,,"UNIVERSITY MALL; 575 E. University Pkwy. # E.2; Salt Lake City, UT 84121",NET 30 DAYS,,,Salt Lake City,
Ryan Wolff,49512,615-554-9999,3737,3737,5001 FALCON VIEW SE,UNIVERSAL SIGN SYSTEMS,MI,,"UNIVERSAL SIGN SYSTEMS; 5001 FALCON VIEW SE; GRAND RAPIDS, MI 49512",NET 30 DAYS,,Jack Voss,GRAND RAPIDS,
Rich Thompson,55104,651 645 0223,3730,3730,1033 THOMAS AVE,UNIVERSAL SIGN CO,MN,,"UNIVERSAL SIGN CO; 1033 THOMAS AVE; ST. PAUL, MN 55104",NET 30 DAYS,,,ST. PAUL,
,50312,515-457-8758,118000,118000,414 31st St,UNITY CHURCH,IA,,"UNITY CHURCH; 414 31st St; Des Moines, IA 50312",NET 30 DAYS,,,Des Moines,
Brian Thompson,52641,641-777-1842,2701,2701,US 218 EXIT 42,UNITY BIOFUELS,IA,,"UNITY BIOFUELS; US 218 EXIT 42; MT. PLEASANT, IA 52641",NET 30 DAYS,,Joy Fullenkamp,MT. PLEASANT,
Brian Thompson,45214,877-681-6600,2593,2593,1030 STRAIGHT STREET,UNITED-MAIER SIGNS,OH,,"UNITED-MAIER SIGNS; 1030 STRAIGHT STREET; CINCINNATI, OH 45214",NET 30 DAYS,,,CINCINNATI,
,22203,(703) 526-2773,117950,117950,SM Facilities Portfolio,UNITED STATES POSTAL SERVICE,VA,4301 Wilson Blvd. Ste 3,"UNITED STATES POSTAL SERVICE; SM Facilities Portfolio; 4301 Wilson Blvd. Ste 3; Arlington, VA 22203",NET 30 DAYS,,,Arlington,
,50265,,4440,4440,4343 FULLER RD.,VALLEY CHURCH,IA,,"VALLEY CHURCH; 4343 FULLER RD.; WEST DES MOINES, IA 50265",NET 30 DAYS,,,WEST DES MOINES,
,50265,223-6152,4120,4120,301 ASHWORTH RD,VAL AIR BALLROOM,IA,,"VAL AIR BALLROOM; 301 ASHWORTH RD; WEST DES MOINES, IA 50265",NET 30 DAYS,,Elvis Castillo,WEST DES MOINES,
Jeff Fye,50111,,5729,5729,801 NE MAIN ST.,UTS TRANSPORTATION,IA,,"UTS TRANSPORTATION; 801 NE MAIN ST.; GRIMES, IA 50111",NET 30 DAYS,,,GRIMES,
,91748,(626) 965-1541,118500,118500,17295 E. Railroad St.,UTILITY TRAILER MANUFACTURING,CA,,"UTILITY TRAILER MANUFACTURING; 17295 E. Railroad St.; City of Industry, CA 91748",NET 30 DAYS,,,City of Industry,
,95356,,6099,6099,5201 PENTECOST DR,USS UNITED SIGN SYSTEMS,CA,,"USS UNITED SIGN SYSTEMS; 5201 PENTECOST DR; MODESTO, CA 95356",NET 30 DAYS,,,MODESTO,
,19401,800-355-4000,2953,2953,1880 MARKLEY STREET,USM,PA,,"USM; 1880 MARKLEY STREET; NORRISTOWN, PA 19401",NET 30 DAYS,,Krista,NORRISTOWN,
,50313,515-266-6700,118450,118450,3921 E 14th St,USA STAFFING INC.,IA,,"USA STAFFING INC.; 3921 E 14th St; Des Moines, IA 50313",NET 30 DAYS,,,Des Moines,
,77007,713 977 4545,3123,3123,SUITE 350,US-1 SIGNS,TX,5225 KATY FREEWAY,"US-1 SIGNS; SUITE 350; 5225 KATY FREEWAY; HOUSTON, TX 77007",NET 30 DAYS,,Joleen Martinez,HOUSTON,
,85254,623 217 8973,4544,4544,SUITE # 160,US SIGNS,AZ,11333 N. SCOTTSDALE RD.,"US SIGNS; SUITE # 160; 11333 N. SCOTTSDALE RD.; SCOTTSDALE, AZ 85254",NET 30 DAYS,,,SCOTTSDALE,
,76205,940 380 9153,4501,4501,2220 SAN JACINTO BLVD STE 365,US SIGNS,TX,,"US SIGNS; 2220 SAN JACINTO BLVD STE 365; DENTON, TX 76205",NET 30 DAYS,,,DENTON,
Mike Ericson,33912,,5956,5956,7981 MAINLINE PARKWAY,US SIGN & MILL CORP.,FL,,"US SIGN & MILL CORP.; 7981 MAINLINE PARKWAY; FORT MYERS, FL 33912",NET 30 DAYS,,,FORT MYERS,
,50265,,118400,118400,1960 Grand Ave. Ste 15,US CELLULAR,IA,,"US CELLULAR; 1960 Grand Ave. Ste 15; West Des Moines, IA 50265",NET 30 DAYS,,,West Des Moines,
Joe Phillips,50309,515-245-6311,2216,2216,520 WALNUT,US BANK CORPORATE REAL ESTATE,IA,SUITE 120,"US BANK CORPORATE REAL ESTATE; 520 WALNUT; SUITE 120; DES MOINES, IA 50309",NET 30 DAYS,,Leah Minton,DES MOINES,
Rich Thompson,50208,,5130,5130,1501 1ST AVE,US BANK / HYVEE OFFICE,IA,,"US BANK / HYVEE OFFICE; 1501 1ST AVE; NEWTON, IA 50208",NET 30 DAYS,,,NEWTON,
Rich Thompson,50311,515 248 7710,5154,5154,2401 UNIVERSITY AVE,US BANK - KINNE CENTER,IA,,"US BANK - KINNE CENTER; 2401 UNIVERSITY AVE; DES MOINES, IA 50311",NET 30 DAYS,,,DES MOINES,
,52401,,4927,4927,MARY CROY,US BANK - CORPORATE REAL ESTATE,IA,222 2ND AVE SE,"US BANK - CORPORATE REAL ESTATE; MARY CROY; 222 2ND AVE SE; CEDAR RAPIDS, IA 52401",NET 30 DAYS,,,CEDAR RAPIDS,
Jeff Fye,50310,515 274 5171,5306,5306,2718 BEAVER,US BANK,IA,,"US BANK; 2718 BEAVER; DES MOINES, IA 50310",NET 30 DAYS,,ERIC / VIOX,DES MOINES,
,50010,515 509 2948,5236,5236,2546 LINCOLN WAY,US BANK,IA,,"US BANK; 2546 LINCOLN WAY; AMES, IA 50010",NET 30 DAYS,,,AMES,
,50010,515 239 3605,5224,5224,405 MAIN ST.,US BANK,IA,,"US BANK; 405 MAIN ST.; AMES, IA 50010",NET 30 DAYS,,Amanda Eckmann,AMES,
,50201,,2926,2926,516 K AVENUE,US BANK,IA,,"US BANK; 516 K AVENUE; NEVADA, IA 50201",NET 30 DAYS,,,NEVADA,
,50219,515 245 6311,5835,5835,801 BROADWAY,US BANK,IA,,"US BANK; 801 BROADWAY; PELLA, IA 50219",NET 30 DAYS,,,PELLA,
,50310,515 245 6325,5822,5822,4045 MERLE HAY RD,US BANK,IA,,"US BANK; 4045 MERLE HAY RD; DES MOINES, IA 50310",NET 30 DAYS,,Leah Minton,DES MOINES,
,50312,515 633 2746,5801,5801,3529 INGERSOLL AVE.,US BANK,IA,,"US BANK; 3529 INGERSOLL AVE.; DES MOINES, IA 50312",NET 30 DAYS,,Raymond R. Stoner,DES MOINES,
,50021,515 964 4223,5790,5790,305 S. ANKENY BLVD,US BANK,IA,,"US BANK; 305 S. ANKENY BLVD; ANKENY, IA 50021",NET 30 DAYS,,,ANKENY,
,50317,,5731,5731,2500 E. EUCLID AVE,US BANK,IA,,"US BANK; 2500 E. EUCLID AVE; DES MOINES, IA 50317",NET 30 DAYS,,,DES MOINES,
Jeff Fye,50122,,6094,6094,324 WEST MAPLE,VAN WALL EQUIPMENT - JOHN DEERE,IA,,"VAN WALL EQUIPMENT - JOHN DEERE; 324 WEST MAPLE; HUBBARD, IA 50122",NET 30 DAYS,,,HUBBARD,
Jeff Fye,50054,,6047,6047,502 HIGHWAY 117 NORTH,VAN WALL EQUIPMENT - JOHN DEERE,IA,,"VAN WALL EQUIPMENT - JOHN DEERE; 502 HIGHWAY 117 NORTH; COLFAX, IA 50054",NET 30 DAYS,,,COLFAX,
Jeff Fye,50583,,6369,6369,3130 255TH ST.,VAN WALL EQUIPMENT,IA,,"VAN WALL EQUIPMENT; 3130 255TH ST.; SAC CITY, IA 50583",NET 30 DAYS,,,SAC CITY,
Jeff Fye,50636,,6167,6167,11213 IA-14,VAN WALL EQUIPMENT,IA,,"VAN WALL EQUIPMENT; 11213 IA-14; GREENE, IA 50636",NET 30 DAYS,,,GREENE,
Jeff Fye,50401,,6006,6006,17551 KILLDEER AVE.,VAN WALL EQUIPMENT,IA,,"VAN WALL EQUIPMENT; 17551 KILLDEER AVE.; MASON CITY, IA 50401",NET 30 DAYS,,,MASON CITY,
,50322,,5791,5791,4170 NW URBANDALE DR,VAN WALL EQUIPMENT,IA,,"VAN WALL EQUIPMENT; 4170 NW URBANDALE DR; URBANDALE, IA 50322",NET 30 DAYS,,,URBANDALE,
Joe Phillips,46563,574-250-2020,118770,118770,2930 MILLER DR,VAN VACTOR,IN,,"VAN VACTOR; 2930 MILLER DR; PLYMOUTH, IN 46563",NET 30 DAYS,,,PLYMOUTH,
Joe Phillips,50261,,5329,5329,720 MAIN STREET,VAN METER VETERINARY CLINIC,IA,,"VAN METER VETERINARY CLINIC; 720 MAIN STREET; VAN METER, IA 50261",NET 30 DAYS,,Anne,VAN METER,
Joe Phillips,52404,319-368-2896,3013,3013,850 32ND AVENUE SW,VAN METER INC,IA,,"VAN METER INC; 850 32ND AVENUE SW; CEDAR RAPIDS, IA 52404",NET 30 DAYS,,Kendra Fish,CEDAR RAPIDS,
Joe Phillips,51106,712-252-2040,3351,3351,901 CUNNINGHAM DR,VAN METER,IA,,"VAN METER; 901 CUNNINGHAM DR; SIOUX CITY, IA 51106",NET 30 DAYS,,Matt Young,SIOUX CITY,
,52807,563 484 5746,5003,5003,5775 TREMONT AVE.,VAN METER,IA,,"VAN METER; 5775 TREMONT AVE.; DAVENPORT, IA 52807",NET 30 DAYS,,,DAVENPORT,
,53227,,2826,2826,10150 WEST NATIONAL AVE,VALVOLINE OIL,WI,,"VALVOLINE OIL; 10150 WEST NATIONAL AVE; WEST ALLIS, WI 53227",NET 30 DAYS,,Ron Nichols,WEST ALLIS,
,50325,309-5363,2813,2813,2150 NE 100TH STREET,VALVOLINE OIL,IA,,"VALVOLINE OIL; 2150 NE 100TH STREET; CLIVE, IA 50325",NET 30 DAYS,,Heather,CLIVE,
,50315,244-2355,2756,2756,1001 SE PARK AVE,VALVOLINE OIL,IA,,"VALVOLINE OIL; 1001 SE PARK AVE; DES MOINES, IA 50315",NET 30 DAYS,,Jason,DES MOINES,
,40512,(800) 622-6846 ext.,118700,118700,P.O. Box 1404,VALVOLINE INSTANT OIL CHANGE,KY,,"VALVOLINE INSTANT OIL CHANGE; P.O. Box 1404; Lexington, KY 40512",NET 30 DAYS,,,Lexington,
Kent Reed,50266,515-223-9090,4775,4775,SUITE 230,VALLEY WEST UNIFORMS,IA,4100 UNIVERSITY AVE.,"VALLEY WEST UNIFORMS; SUITE 230; 4100 UNIVERSITY AVE.; WEST DES MOINES, IA 50266",NET 30 DAYS,,Terry Dickinson,WEST DES MOINES,
,50265,(515) 225-9191,118650,118650,1400 35th St.,VALLEY WEST OIL CO.,IA,,"VALLEY WEST OIL CO.; 1400 35th St.; West Des Moines, IA 50265",NET 30 DAYS,,,West Des Moines,
Ryan Wolff,50266,,5975,5975,1551 VALLEY W DR,VALLEY WEST MALL,IA,,"VALLEY WEST MALL; 1551 VALLEY W DR; WEST DES MOINES, IA 50266",NET 30 DAYS,,Terry Frederickson,WEST DES MOINES,
Joe Phillips,50265,223-6000,118600,118600,SUITE 15,VALLEY SQUARE,IA,974 73RD ST.,"VALLEY SQUARE; SUITE 15; 974 73RD ST.; WEST DES MOINES, IA 50265",NET 30 DAYS,,,WEST DES MOINES,
Joe Phillips,50311,277-5611,118550,118550,3931 Cottage Grove,VALLEY SERVICES CLEANING,IA,,"VALLEY SERVICES CLEANING; 3931 Cottage Grove; Des Moines, IA 50311",NET 30 DAYS,,,Des Moines,
Brian Thompson,50266,,3375,3375,6150 VILLAGE VIEW DRIVE,VALLEY RIDGE DENTAL,IA,SUITE 109,"VALLEY RIDGE DENTAL; 6150 VILLAGE VIEW DRIVE; SUITE 109; WEST DES MOINES, IA 50266",NET 30 DAYS,,Jessica Johnson,WEST DES MOINES,
Joe Phillips,50265,,5480,5480,139 6TH STREET,VALLEY JUNCTION FREE MEDICAL CLINIC,IA,,"VALLEY JUNCTION FREE MEDICAL CLINIC; 139 6TH STREET; WEST DES MOINES, IA 50265",NET 30 DAYS,,Althea Holcomb,WEST DES MOINES,
,50266,783 5100,2851,2851,3650 WOODLAND AVE,VALLEY HIGH SCHOOL,IA,,"VALLEY HIGH SCHOOL; 3650 WOODLAND AVE; WEST DES MOINES, IA 50266",NET 30 DAYS,,,WEST DES MOINES,
House,50265,223-1266,2742,2742,202 GRAND AVE,VALLEY EYE CLINIC,IA,SUITE 1000,"VALLEY EYE CLINIC; 202 GRAND AVE; SUITE 1000; WEST DES MOINES, IA 50265",NET 30 DAYS,,Dr. Swanger,WEST DES MOINES,
Jeff Fye,50265,,6290,6290,4444 FULLER RD.,VALLEY COMMUNITY CENTER,IA,,"VALLEY COMMUNITY CENTER; 4444 FULLER RD.; WEST DES MOINES, IA 50265",NET 30 DAYS,,,WEST DES MOINES,
Mike Ericson,50263,,2908,2908,454 SE UNIVERSITY,VERIZON WIRELESS,IA,,"VERIZON WIRELESS; 454 SE UNIVERSITY; WAUKEE, IA 50263",NET 30 DAYS,,,WAUKEE,
Mike Ericson,50266,515-221-1181,2881,2881,1551 VALLEY WEST DRIVE,VERIZON WIRELESS,IA,KIOSK LOWER LEVEL,"VERIZON WIRELESS; 1551 VALLEY WEST DRIVE; KIOSK LOWER LEVEL; WEST DES MOINES, IA 50266",NET 30 DAYS,,,WEST DES MOINES,
,50310,515-771-1020,2442,2442,3714 MERLE HAY ROAD,VERIZON WIRELESS,IA,,"VERIZON WIRELESS; 3714 MERLE HAY ROAD; DES MOINES, IA 50310",NET 30 DAYS,,Joe Thunhorst,DES MOINES,
Mike Ericson,50320,,3947,3947,1530 E. ARMY POST RD,VERIZON WIRELESS,IA,,"VERIZON WIRELESS; 1530 E. ARMY POST RD; DES MOINES, IA 50320",NET 30 DAYS,,,DES MOINES,
,50701,,3033,3033,233 FISHER DRIVE,VERIDIAN CREDIT UNION,IA,,"VERIDIAN CREDIT UNION; 233 FISHER DRIVE; WATERLOO, IA 50701",NET 30 DAYS,,Abby,WATERLOO,
,50701,319-236-5600,119050,119050,1827 ANSBOROUGH AVE.,VERIDIAN CREDIT UNION,IA,,"VERIDIAN CREDIT UNION; 1827 ANSBOROUGH AVE.; WATERLOO, IA 50701",NET 30 DAYS,,,WATERLOO,
,50021,319-236-5648,2808,2808,1201 S. ANKENY BLVD,VERIDIAN CREDIT UNION,IA,,"VERIDIAN CREDIT UNION; 1201 S. ANKENY BLVD; ANKENY, IA 50021",NET 30 DAYS,,Brenda,ANKENY,
,50325,,4126,4126,12333 STRATFORD DR.,VENTURE MANAGEMENT CONSULTANTS,IA,,"VENTURE MANAGEMENT CONSULTANTS; 12333 STRATFORD DR.; CLIVE, IA 50325",NET 30 DAYS,,,CLIVE,
Mike Ericson,50312,,4675,4675,3011 INGERSOL AVE.,VENTURE MANAGEMENT,IA,,"VENTURE MANAGEMENT; 3011 INGERSOL AVE.; DES MOINES, IA 50312",NET 30 DAYS,,,DES MOINES,
,50131,(515) 331-2800,119000,119000,6500 NW Beaver Dr.,"VENTER SPOONER, INC.",IA,,"VENTER SPOONER, INC.; 6500 NW Beaver Dr.; Johnston, IA 50131",NET 30 DAYS,,,Johnston,
,27603,,118950,118950,4191 Fayetteville Rd,VENDOR CAPITAL GROUP,NC,,"VENDOR CAPITAL GROUP; 4191 Fayetteville Rd; Raleigh, NC 27603",NET 30 DAYS,,,Raleigh,
,38632,662-449-4026,3015,3015,530 VAIDEN DRIVE,VELOCITY INC.,MS,,"VELOCITY INC.; 530 VAIDEN DRIVE; HERNANDO, MS 38632",NET 30 DAYS,RESALE,Teri Harris,HERNANDO,
,38632,662-449-4026,3014,3014,530 VAIDEN DRIVE,VELOCITY INC.,MI,,"VELOCITY INC.; 530 VAIDEN DRIVE; HERNANDO, MI 38632",NET 30 DAYS,,Teri Harris,HERNANDO,
Joe Phillips,52627,319-372-7058,3443,3443,1226 37TH STREET,VEL'S AMIGO'S MEXICAN RESTAURANT,IA,,"VEL'S AMIGO'S MEXICAN RESTAURANT; 1226 37TH STREET; FORT MADISON, IA 52627",NET 30 DAYS,,Elizabeth Hidalgo,FORT MADISON,
Joe Phillips,50021,,6268,6268,4410 SE FOUR MILE DR,VEIT,IA,,"VEIT; 4410 SE FOUR MILE DR; ANKENY, IA 50021",NET 30 DAYS,,Jesse Roush,ANKENY,
Jeff Fye,50324,,5513,5513,6977 UNIVERSITY AVE,VECTOR MARKETING,IA,,"VECTOR MARKETING; 6977 UNIVERSITY AVE; WINDSOR HEIGHTS, IA 50324",NET 30 DAYS,,Bobby Severtson,WINDSOR HEIGHTS,
,72203,(501) 376-0017,118900,118900,PO Box 2558,VCC,AR,,"VCC; PO Box 2558; Little Rock, AR 72203",NET 30 DAYS,,Andrew Frith,Little Rock,
Joe Phillips,50321,515-309-9000,2578,2578,7000 FLEUR DR,VATTEROTT COLLEGE,IA,,"VATTEROTT COLLEGE; 7000 FLEUR DR; DES MOINES, IA 50321",NET 30 DAYS,,Dan Nieland,DES MOINES,
,27615,(252) 430-2600,118850,118850,3401 Gresham Lake Rd.,"VARIETY WHOLESALERS, INC.",NC,,"VARIETY WHOLESALERS, INC.; 3401 Gresham Lake Rd.; Raleigh, NC 27615",NET 30 DAYS,,,Raleigh,
Joe Phillips,50125,,118800,118800,1303 East 2nd Ave,VANWALL MOTORSPORTS,IA,,"VANWALL MOTORSPORTS; 1303 East 2nd Ave; Indianola, IA 50125",NET 30 DAYS,,,Indianola,
Joe Phillips,51101,712-277-0331,2357,2357,329 PIERCE,VANTUS BANK,IA,P.O. BOX 897,"VANTUS BANK; 329 PIERCE; P.O. BOX 897; SIOUX CITY, IA 51101",NET 30 DAYS,,Rob Mahon,SIOUX CITY,
,33301,(954) 320-4000,118750,118750,200 S. Andrews Ave.,VANGUARD CAR RENTAL,FL,,"VANGUARD CAR RENTAL; 200 S. Andrews Ave.; Fort Lauderdale, FL 33301",NET 30 DAYS,,,Fort Lauderdale,
Ryan Wolff,50125,,3776,3776,506 E EUCLID AVE.,VANDERPOOL PLUMBING HEATING,IA,,"VANDERPOOL PLUMBING HEATING; 506 E EUCLID AVE.; DES MOINES, IA 50125",NET 30 DAYS,,,DES MOINES,
Ryan Wolff,50125,(515) 961-5710,3744,3744,1400 N 14TH STREET,VANDER LINDEN REAL ESTATE,IA,,"VANDER LINDEN REAL ESTATE; 1400 N 14TH STREET; INDIANOLA, IA 50125",NET 30 DAYS,,Dennis,INDIANOLA,
Jeff Fye,50248,,6317,6317,455 W BROAD ST.,VAN WALL EQUIPMENT - JOHN DEERE,IA,,"VAN WALL EQUIPMENT - JOHN DEERE; 455 W BROAD ST.; STORY CITY, IA 50248",NET 30 DAYS,,,STORY CITY,
,50266,515-953-9323,119630,119630,6905 MILLS CIVIC PKWY #124,VINTAGE WINE & SPIRITS,IA,,"VINTAGE WINE & SPIRITS; 6905 MILLS CIVIC PKWY #124; WEST DES MOINES, IA 50266",NET 30 DAYS,,,WEST DES MOINES,
Mike Ericson,50211,,5372,5372,1220 SUNSET DR.,VILLAGGIO,IA,,"VILLAGGIO; 1220 SUNSET DR.; NORWALK, IA 50211",NET 30 DAYS,,,NORWALK,
Mike Ericson,50322,,4926,4926,2675 100TH ST.,VILLAGGIO,IA,,"VILLAGGIO; 2675 100TH ST.; URBANDALE, IA 50322",NET 30 DAYS,,,URBANDALE,
,50021,515 963 0630,3883,3883,1024 E. 1ST ST.,VILLAGE INN RESTURANT,IA,,"VILLAGE INN RESTURANT; 1024 E. 1ST ST.; ANKENY, IA 50021",NET 30 DAYS,,,ANKENY,
Joe Phillips,50316,,5363,5363,1348 E. EUCLID,VILLAGE INN MOTEL,IA,,"VILLAGE INN MOTEL; 1348 E. EUCLID; DES MOINES, IA 50316",NET 30 DAYS,,Caroline,DES MOINES,
,50208,515-988-4915,119600,119600,524 Lincoln Way,VILLAGE INN,IA,,"VILLAGE INN; 524 Lincoln Way; Ames, IA 50208",NET 30 DAYS,,,Ames,
Mike Ericson,50309,,3528,3528,515 E. LOCUST ST.,VILLAGE BOUTIQUE,IA,,"VILLAGE BOUTIQUE; 515 E. LOCUST ST.; DES MOINES, IA 50309",NET 30 DAYS,,,DES MOINES,
,50310,515 270 9955,3694,3694,SUITE 932,VILLA PIZZA,IA,3800 MERLE HAY RD.,"VILLA PIZZA; SUITE 932; 3800 MERLE HAY RD.; DES MOINES, IA 50310",NET 30 DAYS,,,DES MOINES,
,7960,(973) 285-4800,119550,119550,17 Elm St.,VILLA PIZZA,NJ,,"VILLA PIZZA; 17 Elm St.; Morristown, NJ 7960",NET 30 DAYS,,,Morristown,
Jeff Fye,50023,531-203-9672,5239,5239,240 NW 36TH ST,VILLA NAILS & SPA,IA,,"VILLA NAILS & SPA; 240 NW 36TH ST; ANKENY, IA 50023",NET 30 DAYS,,Alexanders Bianchi,ANKENY,
Kent Reed,50158,641-752-1553,3752,3752,2401 S. 2ND ST.,VILLA DEL SOL,IA,,"VILLA DEL SOL; 2401 S. 2ND ST.; MARSHALLTOWN, IA 50158",NET 30 DAYS,,Tammy Olson,MARSHALLTOWN,
,52101,(319) 568-3451,119500,119500,321 W. Water St,VIKING STATE BANK & TRUST,IA,,"VIKING STATE BANK & TRUST; 321 W. Water St; Decorah, IA 52101",NET 30 DAYS,,,Decorah,
Joe Phillips,30742,706-866-7999,2399,2399,2109 LAFAYETTE ROAD,VICTORY SIGN INDUSTRIES LTD.,GA,,"VICTORY SIGN INDUSTRIES LTD.; 2109 LAFAYETTE ROAD; FORT OGLETHORPE, GA 30742",Net 30,,Lisa Hardy,FORT OGLETHORPE,
,80216,(303) 672-2247,119450,119450,Accounts Payable,"VICORP REST., INC.",CO,PO Box 16601,"VICORP REST., INC.; Accounts Payable; PO Box 16601; Denver, CO 80216",NET 30 DAYS,,,Denver,
,50309,,119400,119400,2801 2nd Ave,VICKYS LOUNGE,IA,,"VICKYS LOUNGE; 2801 2nd Ave; Des Moines, IA 50309",NET 30 DAYS,,,Des Moines,
Jeff Fye,50220,,5767,5767,2821 E WILLS,VETERINARY MEDICAL ASSOCIATES,IA,,"VETERINARY MEDICAL ASSOCIATES; 2821 E WILLS; PERRY, IA 50220",NET 30 DAYS,,,PERRY,
Kent Reed,50021,(515) 964-3939,3816,3816,305 SE ORALABOR RD.,VESTA SALON & SPA,IA,,"VESTA SALON & SPA; 305 SE ORALABOR RD.; ANKENY, IA 50021",NET 30 DAYS,,Todd Driscoll,ANKENY,
